position;tag;type;Valeur_numérique;Unite;Date;identi;dim;form 
225;Other current payables;IFRS;1175099.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
226;Other current payables;IFRS;1145425.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
227;Current liabilities;IFRS;2716566.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
228;Current liabilities;IFRS;2180102.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
229;Noncurrent recognised liabilities defined benefit plan;IFRS;34009.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
230;Noncurrent recognised liabilities defined benefit plan;IFRS;20693.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
231;Noncurrent payables to trade suppliers;IFRS;0.0;iso4217:USD;2019-12-31;nn;nn;nn
232;Noncurrent payables to trade suppliers;IFRS;32475.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
233;Other noncurrent financial liabilities;IFRS;3437706.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
234;Other noncurrent financial liabilities;IFRS;3550.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
235;Noncurrent government grants;IFRS;43249.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
236;Noncurrent government grants;IFRS;68617.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
237;Noncurrent liabilities;IFRS;3514964.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
238;Noncurrent liabilities;IFRS;125335.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
239;Issued capital;IFRS;55927.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
240;Issued capital;IFRS;55927.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
241;Other reserves;IFRS;21416.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
242;Other reserves;IFRS;32826.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
243;Retained earnings;IFRS;14109237.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
244;Retained earnings;IFRS;11217047.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
245;Equity;IFRS;14186580.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
246;Equity;IFRS;11305800.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
247;Equity and liabilities;IFRS;20418110.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
248;Equity and liabilities;IFRS;13611237.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
249;Profit loss;IFRS;2892190.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
250;Profit loss;IFRS;8349395.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
251;Adjustments for depreciation and amortisation expense;IFRS;873846.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
252;Adjustments for depreciation and amortisation expense;IFRS;344735.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
253;Adjustments for provisions;IFRS;1277.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
254;Adjustments for provisions;IFRS;1686.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
255;Adjustments for losses gains on disposal of noncurrent assets;IFRS;0.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;nn
256;Adjustments for losses gains on disposal of noncurrent assets;IFRS;-17061.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
257;Adjustments for finance income cost;IFRS;-23974.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
258;Adjustments for finance income cost;IFRS;12470.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
259;Other adjustments for noncash items;IFRS;210645.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
260;Other adjustments for noncash items;IFRS;336162.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
261;Adjustments for decrease increase in trade and other receivables;IFRS;856671.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
262;Adjustments for decrease increase in trade and other receivables;IFRS;2305145.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
263;Adjustments for increase decrease in trade and other payables;IFRS;-23344.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
264;Adjustments for increase decrease in trade and other payables;IFRS;-4007682.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
265;Interest received classified as operating activities;IFRS;19118.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
266;Interest received classified as operating activities;IFRS;13635.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
267;Cash flows from used in operating activities;IFRS;4854427.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
268;Cash flows from used in operating activities;IFRS;7313545.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
269;Proceeds from disposals of property plant and equipment intangible assets other than goodwill investment property and other noncurrent assets;IFRS;0.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;nn
270;Proceeds from disposals of property plant and equipment intangible assets other than goodwill investment property and other noncurrent assets;IFRS;26194.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
271;Purchase of property plant and equipment intangible assets other than goodwill investment property and other noncurrent assets;IFRS;793219.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
272;Purchase of property plant and equipment intangible assets other than goodwill investment property and other noncurrent assets;IFRS;519780.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
273;Purchase of financial instruments classified as investing activities;IFRS;40087.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
274;Purchase of financial instruments classified as investing activities;IFRS;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;nn
275;Cash flows from used in investing activities;IFRS;-833040.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
276;Cash flows from used in investing activities;IFRS;-493586.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
277;Payments of lease liabilities classified as financing activities;IFRS;438783.0;iso4217:USD;nn;nn;nn;ixt:num-dot-decimal
278;Payments of lease liabilities classified as financing activities;IFRS;4242.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
279;Proceeds from other financing liabilities;Custom;61383.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
280;Proceeds from other financing liabilities;Custom;-9124.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
281;Interest paid classified as financing activities;IFRS;34622.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
282;Interest paid classified as financing activities;IFRS;1238.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
283;Cash flows from used in financing activities;IFRS;-412022.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
284;Cash flows from used in financing activities;IFRS;-14604.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
285;Increase decrease in cash and cash equivalents before effect of exchange rate changes;IFRS;3609365.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
286;Increase decrease in cash and cash equivalents before effect of exchange rate changes;IFRS;6805355.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
287;Effect of exchange rate changes on cash and cash equivalents;IFRS;-186986.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
288;Effect of exchange rate changes on cash and cash equivalents;IFRS;-295553.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
289;Cash and cash equivalents;IFRS;9833545.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
290;Cash and cash equivalents;IFRS;3323743.0;iso4217:USD;2017-12-31;nn;nn;ixt:num-dot-decimal
291;Cash and cash equivalents;IFRS;13255924.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
292;Cash and cash equivalents;IFRS;9833545.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
293;Equity;IFRS;55927.0;iso4217:USD;2017-12-31;nn;nn;ixt:num-dot-decimal
294;Equity;IFRS;29514.0;iso4217:USD;2017-12-31;nn;nn;ixt:num-dot-decimal
295;Equity;IFRS;2867652.0;iso4217:USD;2017-12-31;nn;nn;ixt:num-dot-decimal
296;Equity;IFRS;2953093.0;iso4217:USD;2017-12-31;nn;nn;ixt:num-dot-decimal
297;Profit loss;IFRS;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs-full:OtherReservesMember;nn
298;Profit loss;IFRS;8349395.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs-full:RetainedEarningsMember;ixt:num-dot-decimal
299;Profit loss;IFRS;8349395.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
300;Other comprehensive income;IFRS;3312.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs-full:OtherReservesMember;ixt:num-dot-decimal
301;Other comprehensive income;IFRS;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs-full:RetainedEarningsMember;nn
302;Other comprehensive income;IFRS;3312.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
303;Comprehensive income;IFRS;3312.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs-full:OtherReservesMember;ixt:num-dot-decimal
304;Comprehensive income;IFRS;8349395.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;ifrs-full:RetainedEarningsMember;ixt:num-dot-decimal
305;Comprehensive income;IFRS;8352707.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
306;Equity;IFRS;55927.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
307;Equity;IFRS;32826.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
308;Equity;IFRS;11217047.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
309;Equity;IFRS;11305800.0;iso4217:USD;2018-12-31;nn;nn;ixt:num-dot-decimal
310;Profit loss;IFRS;0.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;ifrs-full:OtherReservesMember;nn
311;Profit loss;IFRS;2892190.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;ifrs-full:RetainedEarningsMember;ixt:num-dot-decimal
312;Profit loss;IFRS;2892190.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
313;Other comprehensive income;IFRS;-11410.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;ifrs-full:OtherReservesMember;ixt:num-dot-decimal
314;Other comprehensive income;IFRS;0.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;ifrs-full:RetainedEarningsMember;nn
315;Other comprehensive income;IFRS;-11410.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
316;Comprehensive income;IFRS;-11410.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;ifrs-full:OtherReservesMember;ixt:num-dot-decimal
317;Comprehensive income;IFRS;2892190.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;ifrs-full:RetainedEarningsMember;ixt:num-dot-decimal
318;Comprehensive income;IFRS;2880780.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
319;Equity;IFRS;55927.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
320;Equity;IFRS;21416.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
321;Equity;IFRS;14109237.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
322;Equity;IFRS;14186580.0;iso4217:USD;2019-12-31;nn;nn;ixt:num-dot-decimal
323;Country of incorporation;IFRS;0;nn;2019-12-31;506700GE1G29325QX363;nn;nn
324;Principal place of business;IFRS;0;nn;2019-12-31;506700GE1G29325QX363;nn;nn
325;Legal form of entity;IFRS;0;nn;2019-12-31;506700GE1G29325QX363;nn;nn
326;Address of registered office of entity;IFRS;0;nn;2019-12-31;506700GE1G29325QX363;nn;nn
